,Engraving is is Emblems (base) page further to the right ---------->,,,,,,,,
,,,,,,,,,
Weapon,New Weapon,Iron,Steel,Silver,Price,Might+,Weight+,Hit+,Critical+
Slim Sword,,,,,,,,,
,Slim Sword+1,5,--,--,100,1,--,--,--
,Slim Sword+2,10,--,--,100,1,--,5,--
,Slim Sword+3,15,--,--,300,2,--,10,--
,Slim Sword+4,20,--,--,300,2,--,15,5
,Slim Sword+5,100,--,--,1000,4,--,15,5
,Iron Sword,50,--,--,300,,,,
Iron Sword,,,,,,,,,
,Iron Sword+1,10,--,--,300,2,--,--,--
,Iron Sword+2,30,--,--,300,2,--,5,--
,Iron Sword+3,60,5,--,500,4,--,5,--
,Iron Sword+4,100,10,--,500,4,--,10,--
,Iron Sword+5,200,15,1,1400,6,--,10,--
,Steel Sword,100,10,--,1000,,,,
,Armorslayer,100,10,--,1000,,,,
,Killing Edge,100,10,--,1000,,,,
Steel Sword,,,,,,,,,
,Steel Sword+1,50,1,--,500,2,--,--,--
,Steel Sword+2,60,2,--,500,2,--,5,--
,Steel Sword+3,70,3,1,800,4,-1,5,--
,Steel Sword+4,80,4,1,1000,4,-1,10,5
,Steel Sword+5,340,40,3,2200,6,-2,10,5
,Silver Sword,100,10,1,2000,,,,
,Levin Sword,100,10,--,1000,,,,
,Wo Dao,100,10,--,1000,,,,
Silver Sword,,,,,,,,,
,Silver Sword+1,50,5,1,1000,2,--,--,--
,Silver Sword+2,100,10,1,1000,2,--,5,--
,Silver Sword+3,150,15,3,1500,4,-1,5,--
,Silver Sword+4,500,20,5,1500,4,-1,10,--
,Silver Sword+5,--,50,10,5000,6,-2,10,--
,Brave Sword,100,10,1,2000,,,,
,Wyrmslayer,100,10,1,2000,,,,
Armorslayer,,,,,,,,,
,Armorslayer+1,30,--,--,500,1,--,5,--
,Armorslayer+2,50,3,--,1000,2,--,5,--
,Armorslayer+3,70,5,--,1500,3,--,5,--
,Armorslayer+4,--,7,2,2000,4,--,5,--
,Armorslayer+5,--,35,3,2500,5,--,10,--
Killing Edge,,,,,,,,,
,Killing Edge+1,30,--,--,500,1,--,--,--
,Killing Edge+2,50,3,--,1000,2,--,--,5
,Killing Edge+3,70,5,--,1500,3,--,--,5
,Killing Edge+4,--,7,2,2000,4,--,--,5
,Killing Edge+5,--,35,3,2500,5,--,--,10
Levin Sword,,,,,,,,,
,Levin Sword+1,30,--,--,500,1,--,5,--
,Levin Sword+2,50,3,--,1000,2,--,5,--
,Levin Sword+3,70,5,--,1500,3,--,5,--
,Levin Sword+4,--,7,2,2000,4,--,5,--
,Levin Sword+5,--,35,3,2500,5,--,10,--
Wo Dao,,,,,,,,,
,Wo Dao+1,30,--,--,500,--,--,--,5
,Wo Dao+2,50,3,--,1000,1,--,--,5
,Wo Dao+3,70,5,--,1500,2,--,--,10
,Wo Dao+4,--,7,2,2000,3,--,--,10
,Wo Dao+5,--,35,3,2500,4,--,--,15
Wyrmslayer,,,,,,,,,
,Wyrmslayer+1,30,--,--,500,1,--,5,--
,Wyrmslayer+2,50,3,--,1000,2,--,5,--
,Wyrmslayer+3,70,5,--,1500,3,--,5,--
,Wyrmslayer+4,--,7,2,2000,4,--,5,--
,Wyrmslayer+5,--,35,3,2500,5,--,10,--
Brave Sword,,,,,,,,,
,Brave Sword+1,--,--,1,1000,1,--,--,--
,Brave Sword+2,--,--,3,1000,2,--,--,--
,Brave Sword+3,--,--,6,1500,3,--,5,--
,Brave Sword+4,--,--,10,1500,4,--,5,--
,Brave Sword+5,--,--,15,5000,5,--,10,--
Libération,,,,,,,,,
,Libération+1,30,--,--,300,2,--,--,--
,Libération+2,40,1,--,500,3,--,5,--
,Libération+3,50,2,1,800,4,--,5,--
,Libération+4,60,3,1,1200,5,--,10,--
,Libération+5,70,4,1,1500,6,--,15,5
Wille Glanz,,,,,,,,,
,Wille Glanz+1,--,--,1,1000,1,--,--,--
,Wille Glanz+2,--,--,3,1000,2,--,--,--
,Wille Glanz+3,--,--,6,1500,3,--,5,--
,Wille Glanz+4,--,--,10,1500,4,--,5,--
,Wille Glanz+5,--,--,15,5000,5,--,10,--
Caladbolg,,,,,,,,,
,Caladbolg+1,--,--,3,3000,1,--,5,--
,Caladbolg+2,--,--,5,4000,2,--,5,--
,Caladbolg+3,--,--,7,5000,3,--,5,5
,Caladbolg+4,--,--,15,6000,4,--,5,5
,Caladbolg+5,--,--,20,7000,5,--,10,10
Iron Blade,,,,,,,,,
,Iron Blade+1,10,--,--,300,2,--,--,--
,Iron Blade+2,30,--,--,300,2,--,5,--
,Iron Blade+3,60,5,--,500,4,-1,5,--
,Iron Blade+4,100,10,--,500,4,-1,10,--
,Iron Blade+5,200,15,1,1400,6,-2,10,--
,Steel Blade,100,10,--,1000,,,,
Steel Blade,,,,,,,,,
,Steel Blade+1,50,1,--,500,2,--,--,--
,Steel Blade+2,60,2,--,500,2,--,5,--
,Steel Blade+3,70,3,1,800,4,-1,5,--
,Steel Blade+4,80,4,1,1000,4,-1,10,5
,Steel Blade+5,340,40,3,2200,6,-2,10,5
,Silver Blade,100,10,1,2000,,,,
Silver Blade,,,,,,,,,
,Silver Blade+1,50,5,1,1000,2,--,--,--
,Silver Blade+2,100,10,1,1000,2,--,5,--
,Silver Blade+3,150,15,3,1500,4,-1,5,--
,Silver Blade+4,500,20,5,1500,4,-1,10,--
,Silver Blade+5,--,50,10,5000,6,-2,10,--
Georgios,,,,,,,,,
,Georgios+1,--,--,3,3000,1,--,5,--
,Georgios+2,--,--,5,4000,2,--,5,--
,Georgios+3,--,--,7,5000,3,--,5,5
,Georgios+4,--,--,15,6000,4,--,5,5
,Georgios+5,--,--,20,7000,5,--,10,10
Slim Lance,,,,,,,,,
,Slim Lance+1,5,--,--,100,1,--,--,--
,Slim Lance+2,10,--,--,100,1,--,5,--
,Slim Lance+3,15,--,--,300,2,--,10,--
,Slim Lance+4,20,--,--,300,2,--,15,5
,Slim Lance+5,100,--,--,1000,4,--,15,5
,Iron Lance,50,--,--,300,,,,
Iron Lance,,,,,,,,,
,Iron Lance+1,10,--,--,300,2,--,--,--
,Iron Lance+2,30,--,--,300,2,--,5,--
,Iron Lance+3,60,5,--,500,4,--,5,--
,Iron Lance+4,100,10,--,500,4,--,10,--
,Iron Lance+5,200,15,1,1400,6,--,10,--
,Steel Lance,100,10,--,1000,,,,
,Ridersbane,100,10,--,1000,,,,
,Killer Lance,100,10,--,1000,,,,
Steel Lance,,,,,,,,,
,Steel Lance+1,50,1,--,500,2,--,--,--
,Steel Lance+2,60,2,--,500,2,--,5,--
,Steel Lance+3,70,3,1,800,4,-1,5,--
,Steel Lance+4,80,4,1,1000,4,-1,10,5
,Steel Lance+5,340,40,3,2200,6,-2,10,5
,Silver Lance,100,10,1,2000,,,,
,Flame Lance,100,10,--,1000,,,,
Silver Lance,,,,,,,,,
,Silver Lance+1,50,5,1,1000,2,--,--,--
,Silver Lance+2,100,10,1,1000,2,--,5,--
,Silver Lance+3,150,15,3,1500,4,-1,5,--
,Silver Lance+4,500,20,5,1500,4,-1,10,--
,Silver Lance+5,--,50,10,5000,6,-2,10,--
,Brave Lance,100,10,1,2000,,,,
Javelin,,,,,,,,,
,Javelin+1,30,--,--,500,1,--,5,--
,Javelin+2,50,3,--,1000,2,--,5,--
,Javelin+3,70,5,--,1500,3,--,5,--
,Javelin+4,--,7,2,2000,4,--,5,--
,Javelin+5,--,35,3,2500,5,--,10,--
,Spear,100,10,1,2000,,,,
Ridersbane,,,,,,,,,
,Ridersbane+1,30,--,--,500,1,--,5,--
,Ridersbane+2,50,3,--,1000,2,--,5,--
,Ridersbane+3,70,5,--,1500,3,--,5,--
,Ridersbane+4,--,7,2,2000,4,--,5,--
,Ridersbane+5,--,35,3,2500,5,--,10,--
Killer Lance,,,,,,,,,
,Killer Lance+1,30,--,--,500,1,--,--,--
,Killer Lance+2,50,3,--,1000,2,--,--,5
,Killer Lance+3,70,5,--,1500,3,--,--,5
,Killer Lance+4,--,7,2,2000,4,--,--,5
,Killer Lance+5,--,35,3,2500,5,--,--,10
Flame Lance,,,,,,,,,
,Flame Lance+1,30,--,--,500,1,--,5,--
,Flame Lance+2,50,3,--,1000,2,--,5,--
,Flame Lance+3,70,5,--,1500,3,--,5,--
,Flame Lance+4,--,7,2,2000,4,--,5,--
,Flame Lance+5,--,35,3,2500,5,--,10,--
Spear,,,,,,,,,
,Spear+1,--,--,1,1000,1,--,5,--
,Spear+2,--,--,3,1000,2,--,5,--
,Spear+3,--,--,5,1500,3,--,5,--
,Spear+4,--,--,7,1500,4,--,5,--
,Spear+5,--,--,10,5000,5,--,10,--
Brave Lance,,,,,,,,,
,Brave Lance+1,--,--,1,1000,1,--,5,--
,Brave Lance+2,--,--,3,1000,2,--,5,--
,Brave Lance+3,--,--,5,1500,3,--,5,--
,Brave Lance+4,--,--,7,1500,4,--,5,--
,Brave Lance+5,--,--,10,5000,5,--,10,--
Brionac,,,,,,,,,
,Brionac+1,--,--,3,3000,1,--,5,--
,Brionac+2,--,--,5,4000,2,--,5,--
,Brionac+3,--,--,7,5000,3,--,5,5
,Brionac+4,--,--,15,6000,4,--,5,5
,Brionac+5,--,--,20,7000,5,--,10,10
Iron Greatlance,,,,,,,,,
,Iron Greatlance+1,10,--,--,300,2,--,--,--
,Iron Greatlance+2,30,--,--,300,2,--,5,--
,Iron Greatlance+3,60,5,--,500,4,-1,5,--
,Iron Greatlance+4,100,10,--,500,4,-1,10,--
,Iron Greatlance+5,200,15,1,1400,6,-2,10,--
,Steel Greatlance,100,10,--,1000,,,,
Steel Greatlance,,,,,,,,,
,Steel Greatlance+1,50,1,--,500,2,--,--,--
,Steel Greatlance+2,60,2,--,500,2,--,5,--
,Steel Greatlance+3,70,3,1,800,4,-1,5,--
,Steel Greatlance+4,80,4,1,1000,4,-1,10,5
,Steel Greatlance+5,340,40,3,2200,6,-2,10,5
,Silver Greatlance,100,10,1,2000,,,,
Silver Greatlance,,,,,,,,,
,Silver Greatlance+1,50,5,1,1000,2,--,--,--
